id,number,group,name,brand,category,type,is_defective,is_favorite
resource-0252-trs,0252-TRS-,TRS,SMALSPOORTRAKTOR 4X4 95PK + FL V16,NEW HOLLAND,machine,TNF95 + frontlift,false,false
resource-0251-trs,0251-TRS-,TRS,SMALSPOORTRAKTOR 4X4 95PK + FL V15,NEW HOLLAND,machine,TNF95 + frontlift,false,false
resource-0249-tsl,0249-TSL-,TSL,UITVLAKSLEEP 440 CM V36,EIGEN CONSTRUCTIE,machine,,false,false
resource-0248-tsl,0248-TSL-,TSL,SLEEP 260CM MET ROL 30CM V33,EIGEN CONSTRUCTIE,machine,,false,false
resource-0247-tsl,0247-TSL-,TSL,SLEEP 260 CM MET ROL 30CM V32,EIGEN CONSTRUCTIE,machine,,false,false
resource-0246-mc5,0246-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0237-vgo,0237-VGO-,VGO,TORO WORKMAN BEZANDER,TORO,voertuig,WORKMAN,false,false
resource-0235-tsl,0235-TSL-,TSL,SLEEP 260 CM MET ROL 30CM V27,EIGEN CONSTRUCTIE,machine,,false,false
resource-0234-mc5,0234-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0226-tal,0226-TAL-,TAL,borstel-veertand combi KUNSTGRAS,EIGEN MAKELIJ,machine,SLEEP BORSTEL,false,false
resource-0222-vaz,0222-VAZ-,VAZ,DIEPLADER 1 ASSIG 10 TON,GHEYSEN VERPOORT,aanhanger,KIPDIEPLADER 10 TON,false,false
resource-0220-trb,0220-TRB-,TRB,AHLMAN WIELLADER AZ45e V5,AHLMANN,machine,AZ45e,false,false
resource-0219-tdu,0219-TDU-,TDU,DUMPER AANHANGWAGEN OP LAGEDRUK BANDEN 10 TON,RECORD KIPWAGEN 10T,voertuig,TMA25 S100L,false,false
